season,episode_num,title,original_air_date,imdb_rating,total_votes,desc
4,2,"Coral Palms, Part 2",27 Sep. 2016,8.2,2350,"Jake and Holt plan their attack on Jimmy ""The Butcher"" Figgis, only to end up on the other side of the interrogation table."
4,3,"Coral Palms, Part 3",4 Oct. 2016,8.4,2349,"The team goes to Florida to help Jake and Holt take down Jimmy Figgis, but their plan falls through due to an unexpected injury and another interruption from Sheriff Reynolds."
4,4,The Night Shift,11 Oct. 2016,7.6,2271,"Jake, on his first case back at the precinct, commandeers the vehicle of Jess Day, (from New Girl) who's visiting New York. In the meantime, Holt tries to increase office morale and Amy wants to know why Rosa is taking such long breaks."
4,5,Halloween IV,18 Oct. 2016,8.8,2660,The squad competes in the annual Halloween heist to win the title of Ultimate Detective Slash Genius.
4,6,Monster in the Closet,15 Nov. 2016,7.9,2169,The Nine-Nine throws a wedding for Pimento and Rosa.
4,7,Mr. Santiago,22 Nov. 2016,8.2,2293,"Amy's father, a former cop, comes to Thanksgiving dinner and Jake tries to impress him, leaving Charles on turkey duty. In the meantime, Holt helps Pimento come to terms with the fact that he can no longer be a police officer."
4,8,Skyfire Cycle,29 Nov. 2016,7.8,2169,"Terry meets his lifelong hero, a famous author who's received death threats. In other events, Gina tries to choose the location of the Boyle family vacation and Amy sides with Kevin in his argument with Holt over a math puzzle."
4,9,The Overmining,6 Dec. 2016,8.0,2136,Jake and Holt help Captain CJ with a big case.
4,10,Captain Latvia,13 Dec. 2016,7.6,2152,Jake and Charles face off against a Latvian criminal ring when Jake helps Charles find his son's favorite toy for Christmas.
4,11,"The Fugitive, Part 1",1 Jan. 2017,8.5,2287,"The squad goes on a manhunt for a group of convicts who've escaped from a prison van on the streets of Brooklyn. When one fugitive is still loose, Jake gains a surprising ally."
4,12,"The Fugitive, Part 2",1 Jan. 2017,8.5,2028,"The squad goes on a manhunt for a group of convicts who've escaped from a prison van on the streets of Brooklyn. When one fugitive is still loose, Jake gains a surprising ally."
4,13,The Audit,11 Apr. 2017,7.7,2069,The squad tries to save their precinct from getting shut down when it's being audited by Amy's ex-boyfriend Teddy.
4,14,Serve & Protect,18 Apr. 2017,7.9,2065,Jake and Rosa investigate a case of burglary that occurred on the set of one of their favorite detective shows as Terry's ex takes over auditing the Nine-Nine.
4,15,The Last Ride,25 Apr. 2017,8.3,2154,Jake and Charles search for a bike thief on what may be their last case together.
4,16,Moo Moo,2 May 2017,8.9,4152,Terry and Holt have different ideas for dealing with a fellow police officer who creates trouble for Terry in his own neighborhood.
4,17,Cop-Con,9 May 2017,8.3,2103,Holt tells the squad to be on their best behavior at Cop-Con.
4,18,Chasing Amy,9 May 2017,8.0,2052,Amy disappears just before the Sergeant exam.
4,19,Your Honor,16 May 2017,8.0,1997,Captain Holt's mother comes to the precinct for help when her house is robbed.
4,20,The Slaughterhouse,16 May 2017,8.0,1998,Jake and Rosa attempt to earn their idol's respect.
4,21,The Bank Job,23 May 2017,8.5,2113,Jake and Rosa learn there's more to Lieutenant Hawkins' team than meets the eye as they continue searching for bank robbers.
4,22,Crime & Punishment,23 May 2017,8.6,2257,Jake and Rosa are framed for a crime they didn't commit.
5,1,The Big House Pt. 1,26 Sep. 2017,8.5,2488,Jake and Rosa each adjust differently to life in prison.
5,2,The Big House Pt. 2,3 Oct. 2017,8.4,2310,"Jake is torn between the warden and Romero, while a local mobster claims he can prove that Hawkins is guilty."
5,3,Kicks,10 Oct. 2017,8.0,2121,Jake must pass an official evaluation performed by Holt in order to solve a real case.
5,4,HalloVeen,17 Oct. 2017,9.5,4649,"The Nine-Nine has their fifth annual Halloween heist, and everyone has until midnight to claim the title of ""Amazing Human/Genius""."
5,5,Bad Beat,7 Nov. 2017,8.0,2085,"Jake, Terry and Holt go undercover at an illegal gambling club to track down an arms dealer."
5,6,The Venue,14 Nov. 2017,7.8,2077,The Vulture returns and threatens to take away something important from Jake and Amy.
5,7,Two Turkeys,21 Nov. 2017,8.1,2127,Jake and Amy bring their parents together for Thanksgiving.
5,8,Return to Skyfire,28 Nov. 2017,7.5,2053,"When DC Parlov returns to the precinct to report his latest manuscript being stolen, Terry, Jake and Rosa go undercover at a fantasy convention to catch the culprit."
5,9,99,5 Dec. 2017,8.8,2634,"Holt learns he's in the running to become Chief Commissioner of the NYPD when the squad is in LA for a funeral, but when they miss their flight back to New York, Jake tries to get Holt back in time for the interview."
5,10,Game Night,12 Dec. 2017,8.6,2656,Jake helps Rosa break big news to her parents.
5,11,The Favor,12 Dec. 2017,8.0,2040,"Holt owes Seamus Murphy a favor, so the precinct searches for a loophole that will allow the captain to keep his end of the bargain without breaking the law."
5,12,Safe House,18 Mar. 2018,8.7,2371,"After Seamus threatens Kevin, Holt devises an elaborate plan to hide him in a safe house, with Jake as his guard. Kevin is miserable as the 99 works overtime to find Seamus and take him down."
5,13,The Negotiation,25 Mar. 2018,8.3,2231,Jake runs into a familiar face when he's called in to negotiate a hostage situation with a jewel thief.
5,14,The Box,1 Apr. 2018,9.6,6225,Jake and Holt spend all night trying to get a confession out of a suspect.
5,15,The Puzzle Master,8 Apr. 2018,7.7,2021,Jake and Amy investigate a series of arsons connected to Amy's favorite crossword puzzle author.
5,16,NutriBoom,15 Apr. 2018,7.8,2017,Jake and Charles get suckered into a pyramid scheme.
5,17,DFW,15 Apr. 2018,7.8,2150,Jake meets his half-sister and she invites herself to stay.
5,18,Gray Star Mutual,22 Apr. 2018,7.9,1983,Pimento shows up as the insurance agent when a fire destroys Charles' food truck.
5,19,Bachelor/ette Party,29 Apr. 2018,8.5,2086,Charles plans a scavenger hunt for Jake's bachelor party; Amy's bachelorette party escalates when it's discovered she once slept with a member of her soon-to-be wedding band.
5,20,Show Me Going,6 May 2018,8.4,2251,The Nine-Nine fears for Rosa's safety when she responds to an active shooter alert.
